,storage_treatment,ID,treatment,time,germination.mean,germination.lower,germination.upper,r50
145,Fresh_seeds,C19,-0.4,28,0.22826087,0.15442192,0.323883183,NA
146,Fresh_seeds,C19,-0.2,28,0.536082474,0.437364207,0.632051686,0.096385542
147,Fresh_seeds,C19,0,28,0.76344086,0.667708282,0.838273357,0.153846154
148,Fresh_seeds,D00,-1.2,28,0,0,0.040504004,NA
149,Fresh_seeds,D00,-1,28,0,0,0.03771999,NA
150,Fresh_seeds,D00,-0.8,28,0.011363636,0.002008785,0.061594939,NA
151,Fresh_seeds,D00,-0.6,28,0.166666667,0.105273824,0.253709902,NA
152,Fresh_seeds,D00,-0.4,28,0.273684211,0.194145544,0.370814337,NA
153,Fresh_seeds,D00,-0.2,28,0.591836735,0.492853716,0.683891592,0.111111111
154,Fresh_seeds,D00,0,28,0.6875,0.589081201,0.771490454,0.15
155,Fresh_seeds,D12,-1.2,28,0,0,0.037353212,NA
156,Fresh_seeds,D12,-1,28,0,0,0.038094043,NA
157,Fresh_seeds,D12,-0.8,28,0.020833333,0.00573197,0.072807135,NA
158,Fresh_seeds,D12,-0.6,28,0.010752688,0.001900642,0.058419172,NA
159,Fresh_seeds,D12,-0.4,28,0.210526316,0.14062186,0.302931476,NA
160,Fresh_seeds,D12,-0.2,28,0.424242424,0.331511066,0.52263336,NA
161,Fresh_seeds,D12,0,28,0.729166667,0.632736527,0.807962162,0.136363636
162,Fresh_seeds,D19,-1.2,28,0,0,0.038864854,NA
163,Fresh_seeds,D19,-1,28,0,0,0.038864854,NA
164,Fresh_seeds,D19,-0.8,28,0.033707865,0.011529221,0.094473624,NA
165,Fresh_seeds,D19,-0.6,28,0.095744681,0.051191961,0.172041207,NA
166,Fresh_seeds,D19,-0.4,28,0.147727273,0.08841251,0.236511105,NA
167,Fresh_seeds,D19,-0.2,28,0.530612245,0.432524672,0.626390431,0.0625
168,Fresh_seeds,D19,0,28,0.701030928,0.603692048,0.783053646,0.151898734
